id,t,x,y,z,dx,dy,dz,d2x,d2y,d2z,psi,theta,phi,dpsi,dtheta,dphi,d2psi,d2theta,d2phi
1,0,925,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,100,0,0,0,-1.2,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
3,300,0,0,0,-0.4,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0
4,700,0,0,0,0.4,-0.8,0,0,0,0,0,0,0,0,0,0,0,0,0
5,900,0,0,0,1.1,-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0
