id,t,x,y,z,sog,cog,action
1,0,435.4,603.8,0,1.5,0,
2,0,680.3,214.5,0,1.5,0,
3,0,544.3,473.7,0,1.7,0,
4,0,641.1,36,0,1.5,0,
