Fact,Dimension1,Dimension2,Dimension3,Dimension4,Dimension5,Dimension6
Crs_Domestic_Plan,Location.gps,Fleet.vessel,,,,
Crs_Domestic_Comfort,Location.gps,Fleet.vessel,,,,
Crs_Domestic_Grounding,Location.gps,Fleet.vessel,,,,
Crs_Domestic_DayTime,Location.gps,Fleet.vessel,,,,
Crs_Domestic_NightTime,Location.gps,Fleet.vessel,,,,
Crs_Domestic_Headon,Location.gps,Fleet.vessel,,,,
Crs_Domestic_Berthing,Location.gps,Fleet.vessel,,,,
Crs_Domestic_Overtaking,Location.gps,Fleet.vessel,,,,
Crs_Domestic_GiveWay,Location.gps,Fleet.vessel,,,,
Crs_Domestic_Speed,Location.gps,Fleet.vessel,,,,
Crs_Domestic_Signal,Location.gps,Fleet.vessel,,,,
Crs_Domestic_Discipline,Location.gps,Fleet.vessel,,,,
Crs_Domestic_Collision,Location.gps,Fleet.vessel,,,,
Crs_Interior_Misc,Location.gps,Fleet.vessel,,,,
Crs_Interior_Plan,Location.gps,Fleet.vessel,,,,
Crs_Interior_Comfort,Location.gps,Fleet.vessel,,,,
Crs_Interior_Grounding,Location.gps,Fleet.vessel,,,,
Crs_Interior_DayTime,Location.gps,Fleet.vessel,,,,
Crs_Interior_NightTime,Location.gps,Fleet.vessel,,,,
Crs_Interior_Headon,Location.gps,Fleet.vessel,,,,
Crs_Interior_Berthing,Location.gps,Fleet.vessel,,,,
Crs_Interior_Overtaking,Location.gps,Fleet.vessel,,,,
Crs_Interior_GiveWay,Location.gps,Fleet.vessel,,,,
Crs_Interior_Speed,Location.gps,Fleet.vessel,,,,
Crs_Interior_Signal,Location.gps,Fleet.vessel,,,,
Crs_Interior_Discipline,Location.gps,Fleet.vessel,,,,
Crs_Interior_Collision,Location.gps,Fleet.vessel,,,,
Crossing,Location.gps,Fleet.vessel,,,,
GiveWay,Location.gps,Fleet.vessel,,,,
HeadOn,Location.gps,Fleet.vessel,,,,
Overtaking,Location.gps,Fleet.vessel,,,,
StandOn,Location.gps,Fleet.vessel,,,,
Traffic,Location.gps,Fleet.vessel,,,,
Collision,Location.gps,Fleet.vessel,,,,
Approach,Location.gps,Fleet.vessel,,,,
Concern,Location.gps,Fleet.vessel,,,,
Rl,Location.gps,Fleet.vessel,,,,
RiskAssessment,Location.gps,Fleet.vessel,,,,
